sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
59,725;9536;;60s;Yes;No;3;0,70401;0,84001;0,00000;0,10301;2,37986;Group24@0;Atlas3@1;AgentW@2;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.8358333333333332;0.8400142500258816;0.7040114379358235;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,951;9472;;60s;Yes;No;3;0,70401;0,84001;0,00000;0,10301;2,37986;Atlas3@3;Group24@4;AgentW@5;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.8358333333333332;0.8400142500258816;0.7040114379358235;party1_utility.xml;party2_utility.xml;party3_utility.xml
36,455;6231;;60s;Yes;No;3;0,70401;0,84001;0,00000;0,10301;2,37986;AgentW@6;Group24@7;Atlas3@8;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.8358333333333332;0.8400142500258816;0.7040114379358235;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,969;9884;;60s;Yes;No;3;0,74194;0,81833;0,00000;0,17645;2,31728;Group24@9;AgentW@10;Atlas3@11;0.8183333333333332;0.7570048124820374;0.7419388596398198;0.8183333333333332;0.7570048124820374;0.7419388596398198;party1_utility.xml;party2_utility.xml;party3_utility.xml
58,932;8585;;60s;Yes;No;3;0,58681;0,83417;0,00000;0,36387;2,25348;Atlas3@12;AgentW@13;Group24@14;0.8341666666666668;0.5868142502950298;0.8324946918792657;0.8341666666666668;0.5868142502950298;0.8324946918792657;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,908;8786;;60s;Yes;No;3;0,73750;0,83346;0,00000;0,15904;2,40141;AgentW@15;Atlas3@16;Group24@17;0.7375;0.8304493940215574;0.8334609470044917;0.7375;0.8304493940215574;0.8334609470044917;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,706;9708;;60s;Yes;No;3;0,70401;0,84001;0,00000;0,10301;2,37986;Group24@18;Atlas3@19;AgentW@20;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.8358333333333332;0.8400142500258816;0.7040114379358235;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,970;9902;;60s;Yes;No;3;0,70401;0,84001;0,00000;0,10301;2,37986;Atlas3@21;Group24@22;AgentW@23;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.8358333333333332;0.8400142500258816;0.7040114379358235;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,893;9827;;60s;Yes;No;3;0,69000;0,85225;0,00000;0,18084;2,39353;AgentW@24;Group24@25;Atlas3@26;0.69;0.8522529669934003;0.8512769996675457;0.69;0.8522529669934003;0.8512769996675457;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,968;9750;;60s;Yes;No;3;0,74194;0,81833;0,00000;0,17645;2,31728;Group24@27;AgentW@28;Atlas3@29;0.8183333333333332;0.7570048124820374;0.7419388596398198;0.8183333333333332;0.7570048124820374;0.7419388596398198;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,084;8327;;60s;Yes;No;3;0,60862;0,85031;0,00000;0,34636;2,24560;Atlas3@30;AgentW@31;Group24@32;0.7866666666666667;0.6086178232668726;0.8503107445423197;0.7866666666666667;0.6086178232668726;0.8503107445423197;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,897;8621;;60s;Yes;No;3;0,73750;0,83346;0,00000;0,15904;2,40141;AgentW@33;Atlas3@34;Group24@35;0.7375;0.8304493940215574;0.8334609470044917;0.7375;0.8304493940215574;0.8334609470044917;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,644;9297;;60s;Yes;No;3;0,69241;0,85649;0,00000;0,09921;2,39723;Group24@36;Atlas3@37;AgentW@38;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.8483333333333334;0.8564909885811369;0.6924080946242358;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,961;9808;;60s;Yes;No;3;0,70401;0,84001;0,00000;0,10301;2,37986;Atlas3@39;Group24@40;AgentW@41;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.8358333333333332;0.8400142500258816;0.7040114379358235;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,891;9691;;60s;Yes;No;3;0,62667;0,87606;0,00000;0,17999;2,28799;AgentW@42;Group24@43;Atlas3@44;0.6266666666666667;0.8760644761951166;0.7852600005799877;0.6266666666666667;0.8760644761951166;0.7852600005799877;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,969;10284;;60s;Yes;No;3;0,74194;0,81833;0,00000;0,17645;2,31728;Group24@45;AgentW@46;Atlas3@47;0.8183333333333332;0.7570048124820374;0.7419388596398198;0.8183333333333332;0.7570048124820374;0.7419388596398198;party1_utility.xml;party2_utility.xml;party3_utility.xml
59,153;8794;;60s;Yes;No;3;0,42737;0,84258;0,05522;0,51672;2,06912;Atlas3@48;AgentW@49;Group24@50;0.7991666666666667;0.4273736991590657;0.8425751823345944;0.7991666666666667;0.4273736991590657;0.8425751823345944;party1_utility.xml;party2_utility.xml;party3_utility.xml
37,383;5630;;60s;Yes;No;3;0,74190;0,81982;0,00000;0,21282;2,35005;AgentW@51;Atlas3@52;Group24@53;0.7883333333333333;0.7418981716525881;0.8198157802456745;0.7883333333333333;0.7418981716525881;0.8198157802456745;party1_utility.xml;party2_utility.xml;party3_utility.xml
